FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Rolando,Aarons,MID,NEW,4300000,0,5,0.208333333333333,4.84496124031008e-08,1.16279069767442e-06,0,18427,0,2,0,0,0,0,0,1.2,234,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11746,0,0,0,0,136,82,0,0,19,Burnley,Crystal Palace,Man Utd,Bournemouth,Liverpool,4.6,2017,24,Y17W24
Tammy,Abraham,FWD,SWA,5500000,0,64,3.2,5.81818181818182e-07,1.16363636363636e-05,0,1267845,0,25,0,0,0,4,0,11.6,22458,0,0,64,0,0.0,0,0.0,8,0,4,0,2,4.0,1293893,0,0,0,1,1390,891,0,0,184,Arsenal,Leicester,Burnley,Brighton,West Ham,83.4,2017,24,Y17W24
Charlie,Adam,MID,STK,4700000,3,11,0.4583333333333329,9.751773049645392e-08,2.34042553191489e-06,0,6969,0,7,0,0,0,0,0,2.3,116,-3,0,11,3,0.4,0,1.7,0,0,1,0,0,0.1,3024,0,0,0,0,289,327,0,0,58,Watford,Bournemouth,Brighton,Leicester,Southampton,17.5,2017,24,Y17W24
,Adam Smith,DEF,BOU,4800000,2,43,2.0,4.1666666666666704e-07,8.95833333333333e-06,0,41148,5,31,0,0,0,0,0,9.0,654,-2,0,43,2,0.7,0,3.3,3,0,2,0,2,0.4,8350,0,0,0,0,1766,767,0,0,321,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,74.9,2017,24,Y17W24
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,843,0,0,0,0,0,0,0,0.0,218,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1735,0,0,0,0,0,358,0,0,0,West Brom,Burnley,Leicester,Arsenal,Chelsea,0.0,2017,24,Y17W24
,Adrian,GLK,WHU,4400000,2,35,1.4583333333333302,3.31439393939394e-07,7.95454545454546e-06,0,60018,2,12,0,31,0,0,0,8.0,7723,-1,0,35,1,0.6,0,2.5,1,0,3,0,0,3.8,236277,0,0,0,0,900,14915,0,0,179,Crystal Palace,Brighton,Watford,Liverpool,Swansea,20.4,2017,24,Y17W24
Ibrahim,Afellay,MID,STK,4800000,0,6,0.25,5.20833333333333e-08,1.25e-06,0,1636,1,9,0,0,0,0,0,1.3,40,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1176,0,0,0,0,162,33,0,0,29,Watford,Bournemouth,Brighton,Leicester,Southampton,1.8,2017,24,Y17W24
Benik,Afobe,FWD,BOU,5700000,0,24,1.0,1.75438596491228e-07,4.21052631578947e-06,0,32488,0,12,0,0,0,0,0,4.2,325,-3,0,24,3,0.2,0,1.0,0,0,0,0,1,0.2,7356,0,0,0,0,534,184,0,0,73,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,31.3,2017,24,Y17W24
Sergio,Aguero,FWD,MCI,11900000,17,133,7.0,5.882352941176471e-07,1.1176470588235305e-05,0,2809880,1,10,0,0,0,16,0,11.3,15411,4,-2,133,-4,0.8,0,9.3,19,0,10,0,5,28.8,3707252,0,0,0,3,1511,305611,2,0,564,West Brom,Burnley,Leicester,Arsenal,Chelsea,230.5,2017,24,Y17W24
Nathan,Ake,DEF,BOU,4900000,2,63,2.6,5.306122448979589e-07,1.28571428571429e-05,0,340447,3,34,0,0,0,1,0,12.9,7829,-1,0,63,1,0.3,0,1.7,5,0,4,0,1,3.9,152942,0,0,0,0,2092,3876,0,0,397,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,74.2,2017,24,Y17W24
