FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,year,week,Timeline
Joshua,Sims,MID,SOU,4100000,0,12,0.108108108108108,2.636783124588e-08,2.92682926829268e-06,0,26899,0,1,0,0,0,0,0,2.9,0,-4,0,12,4,0,0,0,0,0,1,0,1,0.3,36478,0,0,0,0,211,0,0,0,48,Stoke,,,,,2016,37,Y16W37
Jerome,Sinclair,FWD,WAT,4800000,0,6,1.2,2.5e-07,1.25e-06,0,18512,0,1,0,0,0,0,0,1.3,0,-2,0,6,2,0,0,0,0,0,0,0,0,0.2,7400,0,0,0,0,116,0,0,0,11,Man City,,,,,2016,37,Y16W37
Moussa,Sissoko,MID,TOT,6600000,1,43,0.387387387387387,5.86950586950587e-08,6.51515151515152e-06,0,14151,3,5,0,0,0,0,0,6.5,0,-4,0,43,4,0,0,0,0,0,4,0,3,0.1,13286,0,0,0,0,909,0,0,0,162,Hull City,,,,,2016,37,Y16W37
Islam,Slimani,FWD,LEI,8200000,5,83,0.7477477477477479,9.118874972533508e-08,1.01219512195122e-05,0,156110,1,23,0,0,0,7,0,10.1,0,-3,0,83,3,0,0,0,9,0,5,0,4,0.6,157519,0,0,0,1,1281,0,0,0,271,Bournemouth,,,,,2016,37,Y16W37
Chris,Smalling,DEF,MUN,5800000,0,52,0.468468468468469,8.077042559801179e-08,8.96551724137931e-06,0,62370,0,16,0,0,0,1,0,9.0,0,-2,0,52,2,0,0,0,1,0,4,0,1,1.1,29061,0,381,0,0,1217,0,0,0,282,Crystal Palace,,,,,2016,37,Y16W37
Adam,Smith,DEF,BOU,4600000,2,104,2.9,6.30434782608696e-07,2.260869565217389e-05,0,532703,6,61,0,0,0,1,0,22.6,0,1,0,104,-1,0,0,0,12,0,8,0,5,7.0,700992,1,297,0,1,3101,0,0,0,645,Leicester,,,,,2016,37,Y16W37
Bradley,Smith,DEF,BOU,3900000,0,4,0.03603603603603602,9.24000924000924e-09,1.02564102564103e-06,0,169802,1,9,0,0,0,0,0,1.0,0,-1,0,4,1,0,0,0,0,0,0,0,0,2.5,89956,0,35,0,0,269,0,0,0,35,Leicester,,,,,2016,37,Y16W37
Robert,Snodgrass,MID,WHU,5500000,2,133,3.8,6.90909090909091e-07,2.41818181818182e-05,0,1069575,2,56,0,0,0,7,0,24.2,0,0,0,133,0,0,0,0,16,0,3,0,6,6.3,1225580,0,0,0,2,2548,0,0,0,503,Burnley,,,,,2016,37,Y16W37
Ramadan,Sobhi,MID,STK,4800000,2,36,0.324324324324324,6.75675675675676e-08,7.4999999999999985e-06,0,49755,2,11,0,0,0,0,0,7.5,0,-7,0,36,7,0,0,0,1,0,5,0,2,0.5,28148,0,0,0,0,855,0,0,0,151,Southampton,,,,,2016,37,Y16W37
Dominic,Solanke,FWD,CHE,5000000,0,0,0.0,0.0,0.0,0,769,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,901,0,0,0,0,0,0,0,0,0,Sunderland,,,,,2016,37,Y16W37
