FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Rolando,Aarons,MID,NEW,4300000,0,3,0.157894736842105,3.6719706242350095e-08,6.976744186046509e-07,0,16199,0,1,0,0,0,0,0,0.7,537,-2,0,3,2,0.1,0,0.3,0,0,0,0,0,0.2,10716,0,0,0,0,66,145,0,0,15,Man City,Brighton,Stoke,Swansea,Man City,2.7,2017,19,Y17W19
Tammy,Abraham,FWD,SWA,5700000,2,62,3.4,5.96491228070175e-07,1.0877192982456097e-05,0,1038500,0,21,0,0,0,4,0,10.7,47050,2,1,62,-2,0.3,0,1.8,8,0,4,0,2,7.8,1276598,0,0,0,1,1306,7294,-1,0,182,Liverpool,Watford,Tottenham,Newcastle,Liverpool,80.7,2017,19,Y17W19
Charlie,Adam,MID,STK,4700000,0,3,0.157894736842105,3.35946248600224e-08,6.382978723404259e-07,0,6387,0,2,0,0,0,0,0,0.6,130,-3,0,3,3,0.1,0,0.3,0,0,0,0,0,0.1,2354,0,0,0,0,35,33,0,0,13,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,5.6,2017,19,Y17W19
,Adam Smith,DEF,BOU,4800000,-1,26,1.5,3.125e-07,5.41666666666667e-06,0,38002,5,23,0,0,0,0,0,5.4,413,-2,0,26,2,0.1,0,0.3,0,0,2,0,0,0.4,4669,0,0,0,0,1316,338,0,0,214,West Ham,Everton,Brighton,Arsenal,West Ham,45.7,2017,19,Y17W19
,Adrian,GLK,WHU,4300000,1,22,1.1578947368421102,2.69277845777234e-07,5.11627906976744e-06,0,19925,2,5,0,12,0,0,0,5.1,3338,-2,0,22,2,0.9,0,3.7,1,0,3,0,0,1.4,65708,0,0,0,0,450,9599,0,0,98,Bournemouth,West Brom,Tottenham,Huddersfield,Bournemouth,7.5,2017,19,Y17W19
Ibrahim,Afellay,MID,STK,4800000,0,4,0.210526315789474,4.3859649122807e-08,8.33333333333333e-07,0,1422,1,6,0,0,0,0,0,0.8,30,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,979,0,0,0,0,92,24,0,0,12,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,0.9,2017,19,Y17W19
Benik,Afobe,FWD,BOU,5700000,1,19,1.0,1.75438596491228e-07,3.3333333333333304e-06,0,30778,0,7,0,0,0,0,0,3.3,221,-3,0,19,3,0.1,0,0.7,0,0,0,0,1,0.2,5975,0,0,0,0,392,211,0,0,57,West Ham,Everton,Brighton,Arsenal,West Ham,17.1,2017,19,Y17W19
Sergio,Aguero,FWD,MCI,11500000,16,102,7.3,6.34782608695652e-07,8.8695652173913e-06,0,2442773,0,4,0,0,0,12,0,8.9,41977,0,0,102,0,0.4,0,5.0,16,0,8,0,4,17.8,2721920,0,0,0,2,1098,92544,0,0,425,Newcastle,Crystal Palace,Watford,Liverpool,Newcastle,160.5,2017,19,Y17W19
Nathan,Ake,DEF,BOU,4900000,0,47,2.5,5.102040816326528e-07,9.59183673469388e-06,0,297860,2,28,0,0,0,0,0,9.6,5943,-1,0,47,1,0.2,0,0.8,5,0,4,0,0,3.7,100122,0,0,0,0,1702,4554,0,0,317,West Ham,Everton,Brighton,Arsenal,West Ham,53.8,2017,19,Y17W19
Marc,Albrighton,MID,LEI,5500000,4,56,2.9,5.27272727272727e-07,1.01818181818182e-05,0,177882,3,21,0,0,0,1,0,10.2,4520,0,0,56,0,0.7,0,3.8,6,0,3,0,4,1.9,179327,0,0,0,1,1305,5287,0,0,234,Watford,Liverpool,Huddersfield,Chelsea,Watford,74.4,2017,19,Y17W19
Toby,Alderweireld,DEF,TOT,5800000,0,38,2.0,3.44827586206897e-07,6.55172413793103e-06,0,623029,3,7,0,0,0,0,0,6.6,5595,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,5.2,160503,0,0,0,0,900,54,0,0,200,Southampton,Swansea,West Ham,Everton,Southampton,27.7,2017,19,Y17W19
Trent,Alexander-Arnold,DEF,LIV,4200000,0,17,0.8947368421052628,2.13032581453634e-07,4.04761904761905e-06,0,173457,2,9,0,0,0,0,0,4.0,3568,-3,0,17,3,0.4,0,1.5,2,0,2,0,0,1.2,104612,0,0,0,0,529,5816,0,0,112,Swansea,Leicester,Burnley,Man City,Swansea,34.4,2017,19,Y17W19
Joe,Allen,MID,STK,5100000,12,54,3.0,5.882352941176471e-07,1.0588235294117599e-05,0,166664,4,33,0,0,0,1,0,10.6,1506,-4,0,54,4,0.9,0,4.7,6,0,2,0,3,1.4,30798,0,0,0,1,1602,8860,0,0,291,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,80.1,2017,19,Y17W19
Bamidele,Alli,MID,TOT,9000000,8,77,4.3,4.777777777777779e-07,8.555555555555563e-06,0,1740628,3,16,0,0,0,3,0,8.6,14122,-5,0,77,5,0.4,0,3.3,5,0,7,0,6,11.5,596675,0,0,0,1,1481,4571,0,0,231,Southampton,Swansea,West Ham,Everton,Southampton,120.5,2017,19,Y17W19
Marcos,Alonso,DEF,CHE,7100000,6,96,5.1,7.1830985915493e-07,1.35211267605634e-05,0,838757,5,14,0,0,0,4,0,13.7,10365,1,-1,96,-1,0.8,0,5.7,9,0,8,0,1,19.5,970299,0,0,0,3,1619,90551,1,0,380,Brighton,Stoke,Arsenal,Leicester,Brighton,120.9,2017,19,Y17W19
Daniel,Amartey,MID,LEI,4300000,-2,-1,-0.0526315789473684,-1.22399020807834e-08,-2.3255813953488398e-07,0,16231,0,3,0,0,0,0,0,-0.2,727,-2,0,-1,2,-0.1,0,-0.3,0,0,0,0,0,0.2,11606,0,0,0,0,34,272,0,1,-6,Watford,Liverpool,Huddersfield,Chelsea,Watford,0.6,2017,19,Y17W19
