FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Grant,Hanley,DEF,NEW,4000000,0,0,0.0,0.0,0.0,0,7150,0,0,0,0,0,0,0,0.0,7150,0,0,0,0,0.0,0,0,0,0,0,0,0,2.1,2825,0,0,0,0,0,2825,0,0,0,Huddersfield,West Ham,Swansea,Stoke,Brighton,0.0,2017,1,Y17W1
Rekeem,Harper,MID,WBA,4500000,1,1,0.33333333333333304,7.40740740740741e-08,2.22222222222222e-07,0,384,0,0,0,0,0,0,0,0.2,384,0,0,1,0,0.2,0,1,0,0,0,0,0,0.0,832,0,0,0,0,20,832,0,0,6,Burnley,Stoke,Brighton,West Ham,Arsenal,2.7,2017,1,Y17W1
Joe,Hart,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,25537,0,4,0,2,0,0,0,0.0,25537,0,0,0,0,0.0,0,0,0,0,0,0,0,12.6,8421,0,0,0,0,90,8421,0,0,13,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,0.6,2017,1,Y17W1
Isaac,Hayden,MID,NEW,4500000,2,2,2.0,4.44444444444444e-07,4.44444444444444e-07,0,1094,0,2,0,0,0,0,0,0.4,1094,0,0,2,0,0.4,0,2,0,0,0,0,0,0.2,1883,0,0,0,0,90,1883,0,0,8,Huddersfield,West Ham,Swansea,Stoke,Brighton,3.3,2017,1,Y17W1
Eden,Hazard,MID,CHE,10500000,0,0,0.0,0.0,0.0,0,13207,0,0,0,0,0,0,0,0.0,13207,0,0,0,0,0.0,0,0,0,0,0,0,0,1.3,1573,0,0,0,0,0,1573,0,0,0,Tottenham,Everton,Leicester,Arsenal,Stoke,0.0,2017,1,Y17W1
Tom,Heaton,GLK,BUR,5000000,2,2,2.0,4e-07,4e-07,0,17749,0,2,0,4,0,0,0,0.4,17749,0,0,2,0,0.4,0,2,0,0,0,0,0,9.1,8806,0,0,0,0,90,8806,0,0,18,West Brom,Tottenham,Crystal Palace,Liverpool,Huddersfield,1.8,2017,1,Y17W1
Michael,Hefele,DEF,HUD,4500000,0,0,0.0,0.0,0.0,0,1502,0,0,0,0,0,0,0,0.0,1502,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,138,0,0,0,0,0,138,0,0,0,Newcastle,Southampton,West Ham,Leicester,Burnley,0.0,2017,1,Y17W1
Ahmed El-Sayed,Hegazi,DEF,WBA,4600000,15,15,15.0,3.26086956521739e-06,3.26086956521739e-06,0,13626,0,0,0,0,0,1,0,3.3,13626,1,-1,15,-1,3.3,0,15,3,0,1,0,0,12.2,288214,0,0,0,1,90,288214,1,0,39,Burnley,Stoke,Brighton,West Ham,Arsenal,12.1,2017,1,Y17W1
Tomer,Hemed,FWD,BHA,5000000,1,1,1.0,2e-07,2e-07,0,2263,0,0,0,0,0,0,0,0.2,2263,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,813,0,0,0,0,59,813,0,0,0,Leicester,Watford,West Brom,Bournemouth,Newcastle,0.0,2017,1,Y17W1
Jordan,Henderson,MID,LIV,5500000,2,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,5084,0,3,0,0,0,0,0,0.4,5084,0,0,2,0,0.4,0,2,0,0,0,0,0,1.6,8200,0,0,0,0,90,8200,0,0,13,Crystal Palace,Arsenal,Man City,Burnley,Leicester,2.6,2017,1,Y17W1
Jeff,Hendrick,MID,BUR,5500000,2,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,519,0,2,0,0,0,0,0,0.4,519,0,0,2,0,0.4,0,2,0,0,0,0,0,0.2,462,0,0,0,0,90,462,0,0,8,West Brom,Tottenham,Crystal Palace,Liverpool,Huddersfield,2.2,2017,1,Y17W1
Wayne,Hennessey,GLK,CRY,4500000,2,2,2.0,4.44444444444444e-07,4.44444444444444e-07,0,5674,0,3,0,4,0,0,0,0.4,5674,0,0,2,0,0.4,0,2,0,0,0,0,0,1.5,642,0,0,0,0,90,642,0,0,19,Liverpool,Swansea,Burnley,Southampton,Man City,2.3,2017,1,Y17W1
Ander,Herrera,MID,MUN,5500000,0,0,0.0,0.0,0.0,0,47250,0,0,0,0,0,0,0,0.0,47250,0,0,0,0,0.0,0,0,0,0,0,0,0,4.0,3961,0,0,0,0,0,3961,0,0,0,Swansea,Leicester,Stoke,Everton,Southampton,0.0,2017,1,Y17W1
Jonathan,Hogg,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,311,0,0,0,0,0,0,0,0.0,311,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,34,0,0,0,0,0,34,0,0,0,Newcastle,Southampton,West Ham,Leicester,Burnley,0.0,2017,1,Y17W1
