FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Rolando,Aarons,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,10051,0,0,0,0,0,0,0,0.0,410,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,4315,0,0,0,0,0,139,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.0,2017,10,Y17W10
Tammy,Abraham,FWD,SWA,5900000,5,46,4.6,7.796610169491519e-07,7.796610169491521e-06,0,275957,0,10,0,0,0,4,0,7.9,21091,4,-1,46,-4,1.1,0,6.7,8,0,4,0,1,17.1,1005691,0,0,0,1,805,216917,1,0,150,Brighton,Burnley,Bournemouth,Chelsea,Stoke,51.4,2017,10,Y17W10
Charlie,Adam,MID,STK,4800000,1,1,0.0333333333333333,6.94444444444444e-09,2.0833333333333304e-07,0,5062,0,0,0,0,0,0,0,0.2,182,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,1723,0,0,0,0,2,101,0,0,0,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0.3,2017,10,Y17W10
,Adam Smith,DEF,BOU,4800000,1,16,1.6,3.333333333333331e-07,3.3333333333333304e-06,0,30382,3,13,0,0,0,0,0,3.3,895,-2,0,16,2,0.3,0,1.3,0,0,1,0,0,0.5,2798,0,0,0,0,804,226,0,0,128,Newcastle,Huddersfield,Swansea,Burnley,Southampton,27.4,2017,10,Y17W10
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,11964,0,0,0,0,0,0,0,0.0,492,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,1509,0,0,0,0,0,60,0,0,0,Liverpool,Watford,Leicester,Everton,Man City,0.0,2017,10,Y17W10
Ibrahim,Afellay,MID,STK,4900000,0,2,0.0666666666666667,1.36054421768707e-08,4.08163265306122e-07,0,999,1,6,0,0,0,0,0,0.4,92,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,725,0,0,0,0,62,68,0,0,4,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0.4,2017,10,Y17W10
Benik,Afobe,FWD,BOU,5700000,2,14,0.4666666666666671,8.187134502923982e-08,2.45614035087719e-06,0,27128,0,5,0,0,0,0,0,2.5,1044,-3,0,14,3,0.4,0,2.3,0,0,0,0,1,0.2,3818,0,0,0,0,340,107,0,0,44,Newcastle,Huddersfield,Swansea,Burnley,Southampton,16.0,2017,10,Y17W10
Sergio,Aguero,FWD,MCI,11800000,0,59,8.4,7.118644067796609e-07,5e-06,0,1577926,0,1,0,0,0,7,0,5.0,161491,3,0,59,-3,0.2,0,2.3,9,0,5,0,3,22.0,2073457,0,0,0,1,541,99418,0,0,249,Arsenal,Leicester,Huddersfield,Southampton,West Ham,89.9,2017,10,Y17W10
Nathan,Ake,DEF,BOU,4900000,2,23,2.3,4.6938775510204106e-07,4.69387755102041e-06,0,239678,1,14,0,0,0,0,0,4.7,6146,-1,0,23,1,0.4,0,2.0,4,0,1,0,0,3.6,38291,0,0,0,0,892,3140,0,0,167,Newcastle,Huddersfield,Swansea,Burnley,Southampton,27.1,2017,10,Y17W10
Marc,Albrighton,MID,LEI,5500000,1,20,2.0,3.63636363636364e-07,3.63636363636364e-06,0,130414,2,11,0,0,0,0,0,3.6,7500,0,0,20,0,0.2,0,1.3,0,0,2,0,1,1.6,114921,0,0,0,0,685,488,0,0,93,Stoke,Man City,West Ham,Tottenham,Burnley,32.1,2017,10,Y17W10
