FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Rolando,Aarons,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,9633,0,0,0,0,0,0,0,0.0,714,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,4174,0,0,0,0,0,264,0,0,0,Burnley,Bournemouth,Man Utd,Watford,West Brom,0.0,2017,9,Y17W9
Tammy,Abraham,FWD,SWA,5800000,2,41,4.6,7.93103448275862e-07,7.06896551724138e-06,0,253494,0,8,0,0,0,4,0,7.1,65251,3,-1,41,-3,1.0,0,5.7,8,0,4,0,0,13.3,786751,0,0,0,1,715,124643,1,0,132,Arsenal,Brighton,Burnley,Bournemouth,Chelsea,47.6,2017,9,Y17W9
Charlie,Adam,MID,STK,4800000,0,0,0.0,0.0,0.0,0,4875,0,0,0,0,0,0,0,0.0,297,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1622,0,0,0,0,0,148,0,0,0,Watford,Leicester,Brighton,Crystal Palace,Liverpool,0.0,2017,9,Y17W9
,Adam Smith,DEF,BOU,4800000,2,15,1.7,3.5416666666666705e-07,3.125e-06,0,29462,2,12,0,0,0,0,0,3.1,1302,-2,0,15,2,0.6,0,3.0,0,0,1,0,0,0.5,2569,0,0,0,0,714,329,0,0,116,Chelsea,Newcastle,Huddersfield,Swansea,Burnley,22.2,2017,9,Y17W9
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,11458,0,0,0,0,0,0,0,0.0,586,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,1446,0,0,0,0,0,122,0,0,0,Crystal Palace,Liverpool,Watford,Leicester,Everton,0.0,2017,9,Y17W9
Ibrahim,Afellay,MID,STK,4900000,0,2,0.0740740740740741,1.5117157974300802e-08,4.08163265306122e-07,0,905,1,6,0,0,0,0,0,0.4,96,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0.0,657,0,0,0,0,62,73,0,0,4,Watford,Leicester,Brighton,Crystal Palace,Liverpool,0.4,2017,9,Y17W9
Benik,Afobe,FWD,BOU,5700000,5,12,0.444444444444444,7.79727095516569e-08,2.10526315789474e-06,0,26065,0,4,0,0,0,0,0,2.1,644,-3,0,12,3,0.4,0,2.0,0,0,0,0,1,0.2,3696,0,0,0,0,267,664,0,0,35,Chelsea,Newcastle,Huddersfield,Swansea,Burnley,13.1,2017,9,Y17W9
Sergio,Aguero,FWD,MCI,11800000,7,59,8.4,7.118644067796609e-07,5e-06,0,1415602,0,1,0,0,0,7,0,5.1,21347,3,-3,59,-3,0.2,0,2.3,9,0,5,0,3,22.8,1958175,0,0,0,1,541,719704,3,0,249,West Brom,Arsenal,Leicester,Huddersfield,Southampton,89.9,2017,9,Y17W9
Nathan,Ake,DEF,BOU,4900000,2,21,2.3,4.6938775510204106e-07,4.28571428571429e-06,0,233321,1,13,0,0,0,0,0,4.3,9080,-1,0,21,1,0.9,0,4.3,4,0,1,0,0,3.7,35093,0,0,0,0,802,2945,0,0,155,Chelsea,Newcastle,Huddersfield,Swansea,Burnley,25.5,2017,9,Y17W9
Marc,Albrighton,MID,LEI,5500000,2,19,2.1,3.8181818181818203e-07,3.45454545454545e-06,0,122699,2,11,0,0,0,0,0,3.5,9378,0,0,19,0,0.4,0,2.0,0,0,2,0,1,1.7,114408,0,0,0,0,678,1185,0,0,89,Everton,Stoke,Man City,West Ham,Tottenham,31.8,2017,9,Y17W9
