FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex
Isaac,Mbenza,MID,HUD,6000000,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,Man City,Cardiff City,Everton,Crystal Palace,Leicester,0
James,McArthur,MID,CRY,5000000,3,3,3,6.00E-07,6.00E-07,0,5287,0,0,0,0,0,0,0,0.6,5287,0,0,3,0,0.6,0,3,0,0,1,0,0,1.7,681,0,0,0,0,90,681,0,0,14,Liverpool,Watford,Southampton,Huddersfield,Newcastle,2.9
Alex,McCarthy,GLK,SOU,4500000,11,11,11,2.44E-06,2.44E-06,0,1420,0,0,0,6,0,0,0,2.4,1420,0,0,11,0,2.4,0,11,3,0,1,0,0,1.3,15626,0,0,0,1,90,15626,0,0,34,Everton,Leicester,Crystal Palace,Brighton,Liverpool,4.6
James,McCarthy,MID,EVE,4500000,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,68,0,0,0,Southampton,Bournemouth,Huddersfield,West Ham,Arsenal,0
Kevin,McDonald,MID,FUL,4500000,1,1,1,2.22E-07,2.22E-07,0,1044,1,2,0,0,0,0,0,0.2,1044,0,0,1,0,0.2,0,1,0,0,0,0,0,0.4,448,0,0,0,0,90,448,0,0,16,Tottenham,Burnley,Brighton,Man City,Watford,3.2
Sam,McQueen,DEF,SOU,4000000,0,0,0,0,0,0,2583,0,0,0,0,0,0,0,0,2583,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1089,0,0,0,0,0,1089,0,0,0,Everton,Leicester,Crystal Palace,Brighton,Liverpool,0
Scott,McTominay,MID,MUN,4500000,1,1,1,2.22E-07,2.22E-07,0,2493,0,1,0,0,0,0,0,0.2,2493,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,1322,0,0,0,0,14,1322,0,0,3,Brighton,Tottenham,Burnley,Watford,Wolverhampton,0.3
Ben,Mee,DEF,BUR,5000000,8,8,8,1.60E-06,1.60E-06,0,3565,0,0,0,0,0,0,0,1.6,3565,0,0,8,0,1.6,0,8,2,0,1,0,0,5,9138,0,0,0,0,90,9138,0,0,31,Watford,Fulham,Man Utd,Wolverhampton,Bournemouth,5.1
Nathaniel,Mendez-Laing,MID,CAR,5000000,2,2,2,4.00E-07,4.00E-07,0,245,0,1,0,0,0,0,0,0.4,245,0,0,2,0,0.4,0,2,0,0,0,0,0,0.1,69,0,0,0,0,62,69,0,0,4,Newcastle,Huddersfield,Arsenal,Chelsea,Man City,1.8
Benjamin,Mendy,DEF,MCI,6000000,15,15,15,2.50E-06,2.50E-06,0,4319,0,0,0,0,0,0,0,2.5,4319,0,0,15,0,2.5,0,15,3,0,1,0,2,12.8,134992,0,0,0,1,90,134992,0,0,46,Huddersfield,Wolverhampton,Newcastle,Fulham,Cardiff City,11.4
