FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534886e-07,1.16279069767442e-06,0,20014,0,2,0,0,0,0,0,1.2,47,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.1,11801,0,0,0,0,136,1,0,0,19,Leicester,Arsenal,Everton,West Brom,Watford,4.6,2017,32,Y17W32
Tammy,Abraham,FWD,SWA,5400000,1,72,2.9,5.37037037037037e-07,1.3333333333333301e-05,0,1330116,0,28,0,0,0,4,0,13.3,3211,-1,0,72,1,0.2,0,1.0,8,0,4,0,3,3.5,1317747,0,0,0,1,1493,4574,0,0,202,West Brom,Everton,Man City,Chelsea,Bournemouth,95.2,2017,32,Y17W32
Charlie,Adam,MID,STK,4700000,0,10,0.3125,6.648936170212767e-08,2.12765957446809e-06,0,7886,2,9,0,0,0,0,0,2.1,71,-3,0,10,3,-0.1,1,-0.7,0,0,2,0,0,0.1,3514,0,0,0,0,405,13,0,1,57,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,27.1,2017,32,Y17W32
,Adam Smith,DEF,BOU,4800000,0,56,1.75,3.6458333333333295e-07,1.1666666666666698e-05,0,63135,6,38,0,0,0,1,0,11.7,6464,-2,0,56,2,0.2,0,1.0,3,0,2,0,3,0.6,36504,0,0,0,0,2067,16,0,0,376,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,94.5,2017,32,Y17W32
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,2159,0,0,0,0,0,0,0,0.0,109,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3628,0,0,0,0,0,155,0,0,0,Man Utd,Tottenham,Swansea,West Ham,Huddersfield,0.0,2017,32,Y17W32
,Adrian,GLK,WHU,4200000,0,48,1.5483870967741902,3.68663594470046e-07,1.14285714285714e-05,0,144224,2,24,0,50,0,0,0,11.2,14082,-3,1,48,3,0.0,0,0.0,1,0,4,0,0,2.2,258210,0,0,0,0,1350,392,-1,0,276,Chelsea,Stoke,Arsenal,Man City,Leicester,34.3,2017,32,Y17W32
Ibrahim,Afellay,MID,STK,4800000,0,6,0.1875,3.90625e-08,1.25e-06,0,1846,1,9,0,0,0,0,0,1.3,18,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1350,0,0,0,0,162,9,0,0,29,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,1.8,2017,32,Y17W32
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33827,0,12,0,0,0,0,0,4.2,38,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7422,0,0,0,0,534,3,0,0,73,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,31.3,2017,32,Y17W32
Sergio,Aguero,FWD,MCI,11600000,0,169,7.0,6.03448275862069e-07,1.4568965517241401e-05,0,3974198,1,12,0,0,0,21,0,14.4,135340,1,1,169,-1,0.0,0,0.0,22,0,13,0,6,14.2,4123586,0,0,0,4,1946,3448,-1,0,739,Man Utd,Tottenham,Swansea,West Ham,Huddersfield,298.8,2017,32,Y17W32
Nathan,Ake,DEF,BOU,5100000,4,91,2.8,5.49019607843137e-07,1.7843137254902e-05,0,457443,4,49,0,0,0,2,0,17.8,13864,1,0,91,-1,0.4,0,2.0,8,0,5,0,3,7.4,454665,0,0,0,1,2812,6293,0,0,552,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,109.1,2017,32,Y17W32
