FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,ICTIndex,year,week,Timeline
,Adam Smith,DEF,BOU,4500000,0,56,4.05E-27,9.00E-34,1.24E-05,0,0,6,38,0,0,0,1,0,0,0,0,0,56,0,0,0,0,3,0,2,0,3,0.3,0,0,0,0,0,2067,0,0,0,376,Cardiff City,West Ham,Everton,Chelsea,Leicester,94.5,2018,0,Y18W0
,Adrian,GLK,WHU,4500000,0,72,5.21E-27,1.16E-33,1.60E-05,0,0,2,29,0,69,0,0,0,0,0,0,0,72,0,0,0,0,5,0,6,0,0,0.6,0,0,0,0,0,1710,0,0,0,374,Liverpool,Bournemouth,Arsenal,Wolverhampton,Everton,47,2018,0,Y18W0
Sergio,Aguero,FWD,MCI,11000000,0,169,4.447368421,4.04E-07,1.54E-05,0,0,2,12,0,0,0,21,0,0,0,0,0,169,0,0,0,0,22,0,13,0,6,12.9,0,0,0,0,0,1960,0,0,0,740,Arsenal,Huddersfield,Wolverhampton,Newcastle,Fulham,302.5,2018,0,Y18W0
Nathan,Ake,DEF,BOU,5000000,0,102,2.684210526,5.37E-07,2.04E-05,0,0,5,59,0,0,0,2,0,0,0,0,0,102,0,0,0,0,8,0,6,0,3,6.1,0,0,0,0,0,3352,0,0,0,642,Cardiff City,West Ham,Everton,Chelsea,Leicester,133.5,2018,0,Y18W0
Marc,Albrighton,MID,LEI,5500000,0,107,2.815789474,5.12E-07,1.95E-05,0,0,5,42,0,0,0,2,0,0,0,0,0,107,0,0,0,0,12,0,8,0,8,0.6,0,0,0,0,0,2533,0,0,1,458,Man Utd,Wolverhampton,Southampton,Liverpool,Bournemouth,160.2,2018,0,Y18W0
Toby,Alderweireld,DEF,TOT,6000000,0,43,3.11E-27,5.18E-34,7.17E-06,0,0,3,13,0,0,0,0,0,0,0,0,0,43,0,0,0,0,3,0,5,0,0,3.6,0,0,0,0,0,1177,0,0,0,247,Newcastle,Fulham,Man Utd,Watford,Liverpool,36.8,2018,0,Y18W0
Trent,Alexander-Arnold,DEF,LIV,5000000,0,83,6.00E-27,1.20E-33,1.66E-05,0,0,3,17,0,0,0,1,0,0,0,0,0,83,0,0,0,0,10,0,8,0,2,15.4,0,0,0,0,0,1573,0,0,0,385,West Ham,Crystal Palace,Brighton,Leicester,Tottenham,90.1,2018,0,Y18W0
,Alisson,GLK,LIV,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,West Ham,Crystal Palace,Brighton,Leicester,Tottenham,0,2018,0,Y18W0
Bamidele,Alli,MID,TOT,9000000,0,175,4.605263158,5.12E-07,1.94E-05,0,0,7,28,0,0,0,9,0,0,0,0,0,175,0,0,0,0,12,0,16,0,13,3.5,0,0,0,0,0,2957,0,0,0,565,Newcastle,Fulham,Man Utd,Watford,Liverpool,258.8,2018,0,Y18W0
Marcos,Alonso,DEF,CHE,6500000,0,165,4.342105263,6.68E-07,2.54E-05,0,0,6,30,0,0,0,7,0,0,0,0,0,165,0,0,0,0,15,0,13,0,2,16.9,0,0,0,0,0,2855,0,0,0,650,Huddersfield,Arsenal,Newcastle,Bournemouth,Cardiff City,207.1,2018,0,Y18W0
Daniel,Amartey,MID,LEI,4500000,0,13,9.40E-28,2.09E-34,2.89E-06,0,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0.2,0,0,0,0,0,486,0,0,1,53,Man Utd,Wolverhampton,Southampton,Liverpool,Bournemouth,9.2,2018,0,Y18W0
Ethan,Ampadu,MID,CHE,4500000,0,1,3.62E-28,8.04E-35,2.22E-07,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,Huddersfield,Arsenal,Newcastle,Bournemouth,Cardiff City,0.7,2018,0,Y18W0
Florin,Andone,FWD,BHA,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,Watford,Man Utd,Liverpool,Fulham,Southampton,0,2018,0,Y18W0
Michail,Antonio,MID,WHU,7000000,0,62,4.48E-27,6.41E-34,8.86E-06,0,0,1,23,0,0,0,3,0,0,0,0,0,62,0,0,0,0,1,0,7,0,2,3.3,0,0,0,0,0,1350,0,0,0,188,Liverpool,Bournemouth,Arsenal,Wolverhampton,Everton,94.6,2018,0,Y18W0
Stuart,Armstrong,MID,SOU,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Burnley,Everton,Leicester,Crystal Palace,Brighton,0,2018,0,Y18W0
Marko,Arnautovic,FWD,WHU,7000000,0,144,3.789473684,5.41E-07,2.06E-05,0,0,5,50,0,0,0,11,0,0,0,0,0,144,0,0,0,0,12,0,7,0,7,26.5,0,0,0,0,0,2309,0,0,1,440,Liverpool,Bournemouth,Arsenal,Wolverhampton,Everton,241.1,2018,0,Y18W0
Harry,Arter,MID,BOU,5000000,0,27,1.95E-27,3.91E-34,5.40E-06,0,0,4,13,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0.4,0,0,0,0,0,959,0,0,0,156,Cardiff City,West Ham,Everton,Chelsea,Leicester,29.2,2018,0,Y18W0
Christian,Atsu,MID,NEW,5500000,0,78,5.64E-27,1.03E-33,1.42E-05,0,0,1,22,0,0,0,2,0,0,0,0,0,78,0,0,0,0,5,0,6,0,4,0.2,0,0,0,0,0,1776,0,0,0,236,Tottenham,Cardiff City,Chelsea,Man City,Arsenal,112.9,2018,0,Y18W0
Pierre-Emerick,Aubameyang,FWD,ARS,11000000,0,87,6.29E-27,5.72E-34,7.91E-06,0,0,0,15,0,0,0,10,0,0,0,0,0,87,0,0,1,0,12,0,4,0,4,24.3,0,0,0,0,0,1056,0,0,0,354,Man City,Chelsea,West Ham,Cardiff City,Newcastle,127.1,2018,0,Y18W0
Serge,Aurier,DEF,TOT,6000000,0,77,5.57E-27,9.28E-34,1.28E-05,0,0,1,13,0,0,0,2,0,0,0,0,0,77,0,0,0,0,9,0,6,0,2,1.7,0,0,0,0,0,1427,0,0,1,335,Newcastle,Fulham,Man Utd,Watford,Liverpool,81.4,2018,0,Y18W0
Charlie,Austin,FWD,SOU,6000000,0,72,5.21E-27,8.68E-34,1.20E-05,0,0,2,15,0,0,0,7,0,0,0,0,0,72,0,0,0,0,9,0,4,0,1,2.6,0,0,0,0,0,1024,0,0,0,215,Burnley,Everton,Leicester,Crystal Palace,Brighton,107.7,2018,0,Y18W0
Floyd,Ayite,MID,FUL,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,Crystal Palace,Tottenham,Burnley,Brighton,Man City,0,2018,0,Y18W0
Cesar,Azpilicueta,DEF,CHE,6500000,0,175,4.605263158,7.09E-07,2.69E-05,0,0,1,38,0,0,0,2,0,0,0,0,0,175,0,0,0,0,25,0,15,0,6,16.2,0,1,0,0,0,3330,0,0,0,913,Huddersfield,Arsenal,Newcastle,Bournemouth,Cardiff City,167.5,2018,0,Y18W0
Juninho,Bacuna,MID,HUD,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Chelsea,Man City,Cardiff City,Everton,Crystal Palace,0,2018,0,Y18W0
Eric,Bailly,DEF,MUN,5500000,0,55,3.98E-27,7.23E-34,1.00E-05,0,0,2,6,0,0,0,1,0,0,0,0,0,55,0,0,0,0,3,0,7,0,0,6,0,1,0,0,0,1000,0,0,0,248,Leicester,Brighton,Tottenham,Burnley,Watford,33,2018,0,Y18W0
Leighton,Baines,DEF,EVE,5500000,0,82,2.157894737,3.92E-07,1.49E-05,0,0,1,34,0,0,0,2,0,0,0,0,0,82,0,0,0,0,10,0,5,0,3,2.2,0,0,0,0,0,1909,0,0,0,381,Wolverhampton,Southampton,Bournemouth,Huddersfield,West Ham,88.2,2018,0,Y18W0
Tiemoue,Bakayoko,MID,CHE,5000000,0,77,2.026315789,4.05E-07,1.54E-05,0,0,3,24,0,0,0,2,0,0,0,0,0,77,0,0,0,0,5,0,11,0,2,0.3,0,0,0,0,0,2121,0,0,1,346,Huddersfield,Arsenal,Newcastle,Bournemouth,Cardiff City,113.2,2018,0,Y18W0
Fabian,Balbuena,DEF,WHU,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,Liverpool,Bournemouth,Arsenal,Wolverhampton,Everton,0,2018,0,Y18W0
